Time (seconds),light
2.91,-454.1935
2.92,-454.1935
2.92,-454.1935
2.93,-454.1935
2.93,-454.1935
2.93,-443.871
2.94,-454.1935
2.94,-443.871
2.95,-443.871
2.95,-454.1935
2.95,-443.871
2.96,-454.1935
2.96,-454.1935
2.97,-443.871
2.97,-454.1935
2.97,-454.1935
2.98,-454.1935
3.00,-443.871
3.01,-454.1935
3.01,-454.1935
3.01,-454.1935
3.02,-454.1935
3.02,-454.1935
3.03,-454.1935
3.03,-454.1935
3.03,-454.1935
3.04,-454.1935
3.04,-454.1935
3.05,-454.1935
3.05,-443.871
3.05,-454.1935
3.06,-454.1935
3.06,-443.871
3.07,-454.1935
3.09,-443.871
3.09,-443.871
3.10,-443.871
3.10,-454.1935
3.11,-443.871
3.11,-443.871
3.11,-454.1935
3.12,-443.871
3.12,-443.871
3.13,-443.871
3.13,-443.871
3.13,-443.871
3.14,-454.1935
3.14,-443.871
3.15,-454.1935
3.15,-443.871
3.15,-454.1935
3.16,-443.871
3.18,-443.871
3.19,-443.871
3.19,-443.871
3.19,-454.1935
3.20,-454.1935
3.20,-443.871
3.21,-443.871
3.21,-443.871
3.21,-454.1935
3.22,-443.871
3.22,-454.1935
3.23,-454.1935
3.23,-454.1935
3.23,-443.871
3.24,-454.1935
3.24,-443.871
3.25,-454.1935
3.25,-454.1935
3.27,-454.1935
3.28,-454.1935
3.28,-443.871
3.29,-454.1935
3.29,-454.1935
3.29,-454.1935
3.30,-454.1935
3.30,-454.1935
3.31,-454.1935
3.31,-454.1935
3.31,-443.871
3.32,-443.871
3.32,-454.1935
3.33,-454.1935
3.33,-454.1935
3.34,-454.1935
3.34,-443.871
3.37,-443.871
3.37,-443.871
3.37,-443.871
3.38,-454.1935
3.38,-454.1935
3.39,-454.1935
3.39,-443.871
3.39,-443.871
3.40,-454.1935
3.40,-454.1935
3.41,-454.1935
3.41,-443.871
3.41,-454.1935
3.42,-454.1935
3.42,-443.871
3.43,-454.1935
3.43,-454.1935
3.44,-454.1935
3.45,-454.1935
3.46,-443.871
3.46,-454.1935
3.47,-454.1935
3.47,-454.1935
3.47,-443.871
3.48,-443.871
3.48,-443.871
3.49,-454.1935
3.49,-454.1935
3.49,-454.1935
3.50,-443.871
3.50,-443.871
3.51,-454.1935
3.51,-454.1935
3.51,-454.1935
3.52,-454.1935
3.54,-443.871
3.55,-454.1935
3.55,-443.871
3.55,-443.871
3.56,-443.871
3.56,-454.1935
3.57,-443.871
3.57,-443.871
3.57,-443.871
3.58,-443.871
3.58,-443.871
3.59,-443.871
3.59,-443.871
3.59,-454.1935
3.60,-443.871
3.60,-443.871
3.61,-454.1935
3.61,-443.871
3.63,-443.871
3.64,-454.1935
3.64,-443.871
3.65,-454.1935
3.65,-443.871
3.65,-443.871
3.66,-443.871
3.66,-443.871
3.67,-443.871
3.67,-443.871
3.67,-454.1935
3.68,-454.1935
3.68,-443.871
3.69,-443.871
3.69,-443.871
3.69,-443.871
3.70,-443.871
3.70,-443.871
3.73,-443.871
3.73,-443.871
3.73,6526.853
3.74,6541.92
3.74,6587.12
3.75,6602.187
3.75,6632.32
3.75,6662.454
3.76,6692.588
3.76,6722.722
3.77,6767.922
3.77,6782.989
3.77,6813.123
3.78,6858.323
3.78,6888.457
3.79,6918.591
3.79,6933.657
3.79,6978.858
3.82,7174.726
3.82,7189.794
3.83,7219.927
3.83,7250.061
3.83,7265.128
3.84,7295.261
3.84,7310.328
3.85,7340.462
3.85,7370.595
3.85,7385.662
3.86,7430.862
3.86,7445.93
3.87,7491.13
3.87,7506.196
3.87,7551.397
3.88,7566.464
3.88,7611.665
3.89,7626.731
3.89,7656.865
3.91,7807.533
3.92,7837.667
3.92,7852.734
3.93,7867.801
3.93,7882.867
3.93,13141.19
3.94,13141.19
3.94,13141.19
3.95,13141.19
3.95,13141.19
3.95,13141.19
3.96,13141.19
3.96,13156.26
3.97,13141.19
3.97,13141.19
3.97,13156.26
3.98,13156.26
3.98,13156.26
4.01,13156.26
4.01,13156.26
4.01,13156.26
4.02,13171.32
4.02,13156.26
4.03,13156.26
4.03,13156.26
4.03,13156.26
4.04,13156.26
4.04,13171.32
4.05,13171.32
4.05,13171.32
4.05,13156.26
4.06,13171.32
4.06,13171.32
4.07,13156.26
4.07,13171.32
