Time (seconds),x,y,z
2.68,-72,-840,356
2.69,196,-904,528
2.69,196,-904,528
2.70,196,-904,528
2.71,76,-792,448
2.72,76,-792,448
2.73,300,-884,304
2.74,300,-884,304
2.74,300,-884,304
2.75,296,-776,392
2.76,296,-776,392
2.78,300,-664,412
2.79,508,-768,268
2.79,508,-768,268
2.79,508,-768,268
2.80,508,-768,268
2.80,508,-768,268
2.81,604,-732,284
2.81,604,-732,284
2.81,604,-732,284
2.82,604,-732,284
2.83,900,-744,360
2.83,900,-744,360
2.84,900,-744,360
2.84,900,-744,360
2.87,736,-616,268
2.87,736,-616,268
2.88,736,-616,268
2.89,784,-576,100
2.90,784,-576,100
2.90,784,-576,100
2.91,888,-572,100
2.92,888,-572,100
2.92,888,-572,100
2.93,932,-568,20
2.94,932,-568,20
2.94,932,-568,20
2.95,1012,-476,-52
2.95,1012,-476,-52
2.97,1068,-524,-168
2.98,1068,-524,-168
2.98,1068,-524,-168
2.99,976,-500,-100
2.99,976,-500,-100
2.99,976,-500,-100
3.00,976,-500,-100
3.00,976,-500,-100
3.01,680,-424,-204
3.01,680,-424,-204
3.02,680,-424,-204
3.03,776,-468,-12
3.03,776,-468,-12
3.05,892,-424,-448
3.06,892,-424,-448
3.07,972,-436,-328
3.08,972,-436,-328
3.09,1124,-444,-320
3.09,1124,-444,-320
3.10,1124,-444,-320
3.11,996,-376,-336
3.11,996,-376,-336
3.12,996,-376,-336
3.13,864,-304,-436
3.13,864,-304,-436
3.13,864,-304,-436
3.14,864,-304,-436
3.16,936,-340,-416
3.17,684,-228,-348
3.17,684,-228,-348
3.17,684,-228,-348
3.18,684,-228,-348
3.18,684,-228,-348
3.19,668,-256,-488
3.19,668,-256,-488
3.20,668,-256,-488
3.21,836,-308,-536
3.21,836,-308,-536
3.22,836,-308,-536
3.23,1072,-160,-640
3.25,748,-124,-576
3.26,892,-148,-584
3.27,892,-148,-584
3.28,892,-148,-584
3.29,740,-124,-724
3.30,740,-124,-724
3.30,568,-24,-600
3.31,568,-24,-600
3.31,568,-24,-600
3.32,568,-24,-600
3.32,568,-24,-600
3.33,600,12,-748
3.33,600,12,-748
3.33,600,12,-748
3.36,684,-56,-1024
3.36,704,-88,-828
3.37,704,-88,-828
3.37,704,-88,-828
3.38,704,-88,-828
3.39,532,-36,-872
3.39,532,-36,-872
3.40,532,-36,-872
3.41,372,44,-704
3.41,372,44,-704
3.42,544,-336,-948
3.43,544,-336,-948
3.44,544,-336,-948
3.45,360,196,-1092
3.47,528,88,-988
3.48,528,88,-988
3.49,404,140,-976
3.50,404,140,-976
3.50,340,144,-948
3.51,340,144,-948
3.51,340,144,-948
3.51,340,144,-948
3.52,340,144,-948
3.52,1292,4,724
3.53,1292,4,724
3.53,1292,4,724
3.53,1292,4,724
3.54,1292,4,724
3.54,88,608,-1188
3.57,364,256,-1324
3.57,364,256,-1324
3.57,364,256,-1324
3.58,704,36,-656
3.59,704,36,-656
3.59,704,36,-656
3.60,704,36,-656
3.61,392,236,-1036
3.61,392,236,-1036
3.62,392,236,-1036
3.63,472,220,-900
3.63,472,220,-900
3.64,288,268,-816
3.65,288,268,-816
3.68,348,268,-848
3.68,272,284,-892
3.69,272,284,-892
3.69,272,284,-892
3.69,272,284,-892
3.70,272,284,-892
3.70,412,336,-692
3.71,412,336,-692
3.71,412,336,-692
3.71,412,336,-692
3.72,412,336,-692
3.72,208,372,-1056
3.73,208,372,-1056
3.73,208,372,-1056
3.75,324,344,-880
3.76,324,344,-880
3.76,272,392,-936
3.77,272,392,-936
3.77,272,392,-936
3.78,236,420,-892
3.79,236,420,-892
3.79,236,420,-892
3.80,372,380,-888
3.81,372,380,-888
3.82,372,380,-888
3.83,488,280,-840
3.84,488,280,-840
3.84,492,352,-808
3.85,492,352,-808
3.87,364,416,-564
3.88,364,416,-564
3.88,620,260,-532
3.89,620,260,-532
3.89,620,260,-532
3.89,620,260,-532
3.90,620,260,-532
3.90,748,292,-740
3.91,748,292,-740
3.91,748,292,-740
3.91,748,292,-740
3.92,748,292,-740
3.92,1008,484,-696
3.93,1008,484,-696
4.06,1184,244,-340
4.07,1184,244,-340
4.07,1184,244,-340
4.07,1184,244,-340
4.08,1184,244,-340
4.08,1312,316,0
4.09,1312,316,0
4.09,1312,316,0
4.10,1312,316,0
4.10,1272,384,-8
4.11,1272,384,-8
4.11,1272,384,-8
4.11,1272,384,-8
4.12,1272,384,-8
4.14,988,252,380
4.15,988,252,380
4.16,1016,128,256
4.17,1016,128,256
4.17,1016,128,256
4.18,996,240,420
4.19,996,240,420
4.19,996,240,420
4.20,1196,136,624
4.21,1196,136,624
4.22,1196,136,624
4.22,1068,208,620
4.23,1068,208,620
4.24,1068,208,620
4.24,940,264,496
4.27,920,180,784
4.27,920,180,784
4.27,920,180,784
4.28,768,144,804
4.29,768,144,804
4.29,768,144,804
4.29,768,144,804
4.30,624,72,1240
4.31,624,72,1240
4.31,624,72,1240
4.31,624,72,1240
4.32,664,68,916
4.33,664,68,916
4.33,664,68,916
4.34,400,24,652
4.36,-80,96,520
4.37,-80,96,520
4.38,-116,36,408
4.39,-116,36,408
4.39,-116,36,408
4.40,-68,-44,880
4.41,-68,-44,880
4.41,-68,-44,880
4.42,-188,-4,1112
4.43,-188,-4,1112
4.43,-188,-4,1112
4.43,-188,-4,1112
4.44,-192,-28,1216
4.44,-192,-28,1216
4.45,-192,-28,1216
4.47,-192,-4,1332
4.47,-192,-4,1332
4.48,-20,-12,920
4.48,-20,-12,920
4.49,-20,-12,920
4.49,-20,-12,920
4.49,-20,-12,920
4.50,-320,-84,552
4.50,-320,-84,552
4.51,-320,-84,552
4.51,-320,-84,552
4.52,-472,-84,564
4.53,-472,-84,564
4.53,-472,-84,564
4.56,-324,-88,776
4.57,-324,-88,776
4.58,-324,-88,776
4.58,-328,-144,924
4.59,-328,-144,924
4.60,-328,-144,924
4.60,-460,24,1068
4.61,-460,24,1068
4.61,-460,24,1068
4.62,-584,-184,892
4.62,-584,-184,892
4.63,-584,-184,892
4.63,-584,-184,892
4.63,-584,-184,892
4.66,-520,-80,736
4.66,-520,-80,736
4.67,-520,-80,736
4.67,-520,-80,736
4.67,-520,-80,736
4.68,-836,-36,912
4.68,-836,-36,912
4.69,-836,-36,912
4.69,-836,-36,912
4.70,-828,92,952
4.71,-828,92,952
4.71,-828,92,952
4.72,-480,-480,208
4.73,-480,-480,208
4.75,-724,-84,644
4.76,-564,-124,368
4.77,-564,-124,368
4.77,-564,-124,368
4.78,-468,-88,1136
4.79,-468,-88,1136
4.79,-468,-88,1136
4.80,-756,-192,1224
4.80,-756,-192,1224
4.81,-756,-192,1224
4.81,-756,-192,1224
4.81,-756,-192,1224
4.82,-888,4,140
4.82,-888,4,140
4.85,-680,-208,820
4.85,-680,-208,820
4.85,-680,-208,820
4.86,-848,-36,164
4.86,-848,-36,164
4.87,-848,-36,164
4.87,-848,-36,164
4.88,-1012,-80,-100
4.88,-1012,-80,-100
4.89,-1012,-80,-100
4.90,-1200,-48,112
4.91,-1200,-48,112
4.91,-1200,-48,112
4.93,-1220,-52,272
4.94,-892,-132,328
4.95,-892,-132,328
4.96,-1096,-60,684
4.97,-1096,-60,684
4.98,-892,-164,584
4.98,-892,-164,584
4.99,-892,-164,584
4.99,-892,-164,584
4.99,-892,-164,584
5.00,-904,-144,212
5.00,-904,-144,212
5.01,-904,-144,212
5.01,-904,-144,212
5.03,-800,-272,408
5.04,-800,-272,408
5.05,-800,-272,408
5.05,-800,-272,408
5.06,-1012,-184,348
5.07,-1012,-184,348
5.08,-956,-200,312
5.08,-956,-200,312
5.09,-956,-200,312
5.10,-828,-256,300
5.10,-828,-256,300
5.11,-828,-256,300
5.12,-920,-232,196
5.14,-884,-248,76
5.15,-884,-248,76
5.16,-816,-272,56
5.16,-816,-272,56
5.17,-816,-272,56
5.17,-816,-272,56
5.17,-844,-272,168
5.18,-844,-272,168
5.18,-844,-272,168
5.19,-844,-272,168
5.19,-844,-272,168
5.19,-892,-284,24
5.20,-892,-284,24
5.20,-892,-284,24
5.23,-1008,-216,-212
5.23,-920,-224,-292
