Time (seconds),water_level
22.85,77.28571
22.86,77.42857
22.87,77.42857
22.89,77.42857
22.90,77.42857
22.91,77.28571
22.93,77.57143
22.94,77.28571
22.95,77.28571
22.98,77.42857
23.00,77.14286
23.02,77.28571
23.03,77.42857
23.05,77.28571
23.06,77.14286
23.07,77.28571
23.08,77.28571
23.09,77.28571
23.11,77.42857
23.12,77.42857
23.14,77.28571
23.15,77.28571
23.17,77.14286
23.18,77.28571
23.20,77.0
23.22,76.85714
23.25,76.85714
23.26,76.85714
23.27,76.85714
23.29,76.85714
23.30,76.85714
23.31,76.85714
23.33,76.71429
23.34,76.71429
23.36,76.71429
23.37,76.57143
23.39,76.57143
23.40,76.57143
23.42,76.42858
23.43,76.57143
23.44,76.42858
23.45,76.57143
23.47,76.42858
23.50,76.42858
23.52,76.42858
23.53,76.28572
23.55,76.28572
23.56,76.14286
23.58,76.14286
23.59,76.14286
23.61,76.0
23.62,76.0
23.63,76.14286
23.64,76.0
23.65,75.85714
23.67,75.85714
23.68,75.85714
23.70,75.71429
23.71,75.71429
23.73,75.71429
23.74,75.71429
23.78,75.57143
23.79,75.42858
23.80,75.28572
23.82,75.28572
23.83,75.42858
23.84,75.28572
23.86,75.42858
23.87,75.28572
23.88,75.14286
23.90,75.42858
23.92,75.28572
23.93,75.28572
23.94,75.28572
23.96,75.28572
23.97,75.0
23.99,75.14286
24.00,75.14286
24.03,75.0
24.04,75.0
24.06,75.14286
24.07,75.0
24.09,74.85714
24.10,74.85714
24.12,74.85714
24.13,74.71429
24.15,74.85714
24.17,74.85714
24.18,74.71429
24.19,74.71429
24.21,74.71429
24.22,74.57143
24.23,74.71429
24.25,74.57143
24.26,74.57143
24.28,74.42857
24.31,74.57143
24.33,74.57143
24.34,74.42857
24.35,74.42857
24.37,74.28571
24.38,74.28571
24.39,74.42857
24.40,74.28571
24.42,74.42857
24.43,74.42857
24.45,74.28571
24.46,74.28571
24.48,74.28571
24.49,74.14286
24.51,74.28571
24.52,74.28571
24.53,74.14286
24.57,74.14286
24.58,74.14286
24.59,74.14286
24.60,74.14286
24.62,74.14286
24.64,74.14286
24.65,74.0
24.67,74.0
24.68,74.0
24.70,74.0
24.71,74.0
24.72,74.0
24.73,74.0
24.75,74.0
24.76,73.85714
24.77,73.85714
24.78,73.85714
24.80,73.85714
24.82,73.85714
24.83,73.85714
24.86,73.85714
24.88,73.85714
24.89,73.85714
24.91,73.71429
24.92,73.71429
24.93,73.71429
24.94,73.85714
24.95,73.71429
24.97,73.71429
24.98,73.71429
25.00,73.71429
25.02,73.57143
25.03,73.57143
25.05,73.71429
25.06,73.57143
25.08,73.57143
25.09,73.42857
25.12,73.57143
25.14,73.57143
25.15,73.42857
25.16,73.42857
25.18,73.42857
25.19,73.42857
25.21,73.42857
25.22,73.42857
25.24,73.42857
25.25,73.42857
25.27,73.42857
25.28,73.42857
25.29,73.42857
25.30,73.28571
25.31,73.42857
25.33,73.28571
25.35,73.14286
25.38,73.28571
25.40,73.14286
25.41,73.14286
25.43,73.0
25.44,73.14286
25.45,73.14286
25.46,73.14286
25.47,73.28571
25.49,73.14286
25.50,73.14286
25.51,73.14286
25.53,73.0
25.54,73.14286
25.56,73.0
25.57,73.0
25.58,73.14286
25.60,73.0
25.61,73.0
25.64,73.0
25.65,73.0
25.67,72.85714
25.68,72.85714
25.69,72.85714
25.71,72.85714
25.72,72.85714
25.73,72.71429
25.75,73.0
25.76,72.85714
25.78,72.71429
25.79,72.71429
25.81,72.71429
25.82,72.85714
25.83,72.71429
25.85,72.71429
25.86,72.71429
25.87,72.71429
25.90,72.57143
25.92,72.42857
25.93,72.42857
25.95,72.57143
25.96,72.42857
25.98,72.42857
25.99,72.42857
26.01,72.57143
26.02,72.57143
26.03,72.42857
26.04,72.42857
26.05,72.57143
26.07,72.42857
26.08,72.28571
26.10,72.42857
26.11,72.28571
26.13,72.28571
26.16,72.14286
26.18,72.28571
26.19,72.28571
26.20,72.28571
26.21,72.28571
26.23,72.28571
26.24,72.28571
26.25,72.14286
26.26,72.14286
26.28,72.14286
26.30,72.14286
26.31,72.14286
26.33,72.14286
26.34,72.0
26.36,72.0
26.37,72.0
26.39,72.0
26.40,72.0
26.41,72.0
26.44,72.0
26.46,72.0
26.47,71.85714
26.48,72.0
26.49,71.85714
26.51,71.85714
26.52,71.85714
26.54,72.0
26.55,71.85714
26.57,71.71429
26.58,71.71429
26.59,71.71429
26.60,71.71429
26.61,71.71429
26.63,71.85714
26.65,71.71429
26.66,71.71429
26.68,71.85714
26.82,71.57143
26.84,71.57143
26.86,71.42858
26.87,71.71429
26.89,71.42858
26.90,71.42858
26.92,71.28572
26.93,71.42858
26.94,71.42858
26.95,71.42858
26.97,71.14286
26.98,71.28572
26.99,71.28572
27.01,71.28572
27.02,71.28572
27.04,71.28572
27.05,71.28572
27.08,71.14286
27.10,71.14286
27.11,71.14286
27.13,71.14286
27.14,71.14286
27.15,71.14286
27.16,71.0
27.17,71.0
27.19,71.0
27.20,71.14286
27.21,70.85714
27.22,71.0
27.24,71.0
27.26,70.85714
27.27,71.0
27.28,70.85714
27.30,70.85714
27.31,70.85714
27.33,70.71429
27.36,70.71429
27.37,70.71429
27.38,70.71429
27.39,70.57143
27.41,70.57143
27.42,70.57143
27.44,70.57143
27.46,70.42858
27.47,70.57143
27.49,70.42858
27.50,70.42858
27.51,70.42858
27.53,70.42858
27.54,70.57143
27.55,70.42858
27.56,70.42858
27.58,70.42858
27.61,70.28572
27.63,70.28572
27.64,70.14286
27.66,70.14286
27.67,70.14286
27.69,70.14286
27.70,70.14286
27.71,70.0
27.72,70.0
27.74,70.14286
27.75,70.0
27.76,70.0
27.78,70.0
27.79,70.0
27.80,70.0
27.82,70.0
27.83,69.85714
27.84,69.71429
27.86,69.71429
27.89,69.85714
27.91,69.71429
27.92,69.71429
27.93,69.71429
27.95,69.57143
27.96,69.57143
27.98,69.57143
28.00,69.57143
28.01,69.42857
28.02,69.42857
28.04,69.57143
28.05,69.42857
28.07,69.42857
28.08,69.42857
28.09,69.28571
28.10,69.28571
28.11,69.42857
28.15,69.28571
28.16,69.14286
28.18,69.14286
28.19,69.0
28.21,69.14286
28.22,69.0
28.23,69.0
28.25,69.14286
28.26,69.0
28.27,69.0
28.28,69.0
28.29,69.0
28.31,68.85714
28.32,69.0
28.33,68.85714
28.35,69.0
28.36,68.85714
28.38,68.71429
28.39,68.57143
28.41,68.57143
28.44,68.42857
28.45,68.57143
28.46,68.71429
28.47,68.42857
28.49,68.42857
28.50,68.42857
28.52,68.42857
28.53,68.42857
28.55,68.28571
28.56,68.42857
28.58,68.28571
28.59,68.28571
28.61,68.28571
28.62,68.14286
28.63,68.14286
28.65,68.14286
28.66,68.14286
28.69,68.0
28.70,68.0
28.72,68.0
28.74,68.0
28.75,67.85714
28.77,67.85714
28.78,67.71429
28.80,68.0
28.81,67.85714
28.82,67.57143
28.83,67.71429
28.85,67.57143
28.86,67.71429
28.87,67.71429
28.88,67.57143
28.90,67.57143
28.92,67.57143
28.93,67.42857
28.96,67.28571
28.98,67.14286
28.99,67.28571
29.01,67.14286
29.02,67.14286
29.03,67.14286
29.04,67.14286
29.05,66.85714
29.07,67.0
29.09,67.0
29.10,66.71429
29.12,66.85714
29.13,66.85714
29.15,66.85714
29.16,66.71429
29.18,66.57143
29.19,66.71429
29.20,66.57143
29.24,66.57143
29.25,66.42858
29.26,66.28572
29.28,66.42858
29.30,66.28572
29.31,66.28572
29.33,66.28572
29.34,66.0
